MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"C101602","COMMITTEE FOR A SAFE COMMUNITY","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000954","MONTGOMERY COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2011","Full Disclosure","0.0000","690.6300","0.0000","0.0000","690.6300","0.0000","690.6300","0.0000","1097.6200","0.0000","0.0000","1097.6200","1097.6200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1110.4500","690.6300","1097.6200","0.0000","1097.6200","703.4600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000710","LOCAL UNION 53 IBEW VOLUNTARY POLITICAL FUND","January Quarterly Report","2011","Full Disclosure","34450.0000","4000.0000","0.0000","0.0000","4000.0000","0.0000","38450.0000","70.0000","0.0000","0.0000","0.0000","0.0000","70.0000","32550.0000","4250.0000","0.0000","0.0000","4250.0000","36800.0000","0.0000","0.0000","0.0000","0.0000","8792.8400","4000.0000","4250.0000","0.0000","4250.0000","8542.8400","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C051092","SOUTH COUNTY CITIZENS FOR PUBLIC REFORM ","January Quarterly Report","2011","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","405.3800","0.0000","0.0000","405.3800","405.3800","0.0000","0.0000","0.0000","0.0000","405.3800","0.0000","405.3800","0.0000","405.3800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C061024","GREENE COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2011","Full Disclosure","33248.5900","651.0000","0.0000","0.0000","651.0000","0.0000","33899.5900","30598.3200","2224.8800","0.0000","0.0000","2224.8800","32823.2000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","20234.3100","651.0000","2224.8800","0.0000","2224.8800","18660.4300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C031264","SATER FOR REPRESENTATIVE","January Quarterly Report","2011","Full Disclosure","6675.0000","200.0000","0.0000","0.0000","200.0000","0.0000","6875.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","23500.0000","0.0000","0.0000","0.0000","0.0000","23500.0000","0.0000","0.0000","0.0000","0.0000","13486.8200","200.0000","0.0000","0.0000","0.0000","13686.8200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C001037","BARRY COUNTY REPUBLICAN COMMITTEE","January Quarterly Report","2011","Full Disclosure","6202.4500","0.0000","0.0000","0.0000","0.0000","0.0000","6202.4500","10648.0400","18.9500","0.0000","0.0000","18.9500","10666.9900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","13275.7400","0.0000","0.0000","18.9500","18.9500","13256.7900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C031135","BUTLER COUNTY DEMOCRATIC POLITICAL ACTION COMMITTEE","January Quarterly Report","2011","Full Disclosure","80527.3800","0.0000","0.0000","0.0000","0.0000","0.0000","80527.3800","10806.3000","0.0000","0.0000","0.0000","0.0000","10806.3000","69468.5000","0.0000","0.0000","0.0000","0.0000","69468.5000","0.0000","0.0000","0.0000","0.0000","3043.9600","0.0000","0.0000","0.0000","0.0000","3043.9600","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"c001310","CALLAWAY COUNTY DEMOCRAT CENTRAL COMMITTEE","January Quarterly Report","2011","Full Disclosure","0.0000","100.0000","0.0000","0.0000","100.0000","0.0000","100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","254.1800","100.0000","0.0000","0.0000","0.0000","354.1800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A091075","CITIZENS TO ELECT BRIAN WHITLEY","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000654","MO INDEPENDENT BANKERS ASSOC PAC","January Quarterly Report","2011","Full Disclosure","69160.0000","0.0000","0.0000","1000.0000","1000.0000","0.0000","70160.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","66700.0000","1300.0000","0.0000","0.0000","1300.0000","68000.0000","0.0000","0.0000","0.0000","0.0000","4195.5100","1000.0000","1300.0000","0.0000","1300.0000","3895.5100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C001034","BOONE COUNTY REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report","2011","Full Disclosure","4700.0000","25.0000","0.0000","0.0000","25.0000","0.0000","4725.0000","2983.7000","47.8800","0.0000","0.0000","47.8800","3031.5800","3000.0000","0.0000","0.0000","0.0000","0.0000","3000.0000","0.0000","0.0000","0.0000","0.0000","1298.6000","25.0000","47.8800","0.0000","47.8800","1275.7200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
