mecid,committee_name_x,candidate_name,party,office_sought,status,committee_name_y,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness
C190873,Alex Riley for State Representative,Alex Riley,R,State Representative - District 134 - Missouri House of Representatives,A,Alex Riley for State Representative ,October Quarterly Report,2020,Full Disclosure,1505.0,12348.33,0.0,0.0,12448.33,100.0,13953.33,1049.25,2355.44,0.0,0.0,2355.44,3404.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4316.34,12348.33,2355.44,0.0,2355.44,14309.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C190789,Nowlin For The 134th,Derrick Nowlin,D,State Representative - District 134 - Missouri House of Representatives,A,Nowlin For The 134th,October Quarterly Report,2020,Full Disclosure,9703.73,4424.0,0.0,0.0,4424.0,0.0,14127.73,7175.1,904.93,0.0,0.0,904.93,8080.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.88,4424.0,904.93,0.0,904.93,5405.95,39.47,0.0,0.0,0.0,0.0,0.0,39.47
C190984,Fogle for Missouri,Elizabeth Fogle,D,State Representative - District 135 - Missouri House of Representatives,A,Fogle for Missouri,October Quarterly Report,2020,Full Disclosure,97394.92,37699.18,0.0,0.0,37835.54,136.36,135230.46,11634.36,15647.32,0.0,0.0,15647.32,27281.68,175.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,75907.07,37699.18,15647.32,0.0,15647.32,97958.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C161073,Friends Of Steve Helms,Steve Helms,R,State Representative - District 135 - Missouri House of Representatives,A,Friends Of Steve Helms,October Quarterly Report,2020,Full Disclosure,37303.42,13915.0,0.0,0.0,13915.0,0.0,51218.42,6837.55,37070.27,0.0,0.0,37070.27,43907.82,750.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,41917.58,13915.0,37070.27,0.0,37070.27,18762.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C190810,Vicke Kepling For MO 135,Vicke Kepling,G,State Representative - District 135 - Missouri House of Representatives,A,Vicke Kepling For MO 135,October Quarterly Report,2020,Full Disclosure,9475.05,3507.0,0.0,0.0,3507.0,0.0,12982.05,6593.98,5455.32,0.0,0.0,5455.32,12049.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2769.07,3507.0,5235.32,220.0,5455.32,820.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C180060,Craig Fishel For State Representative,Craig Fishel,R,State Representative - District 136 - Missouri House of Representatives,A,Craig Fishel For State Representative,October Quarterly Report,2020,Full Disclosure,19622.42,21400.0,0.0,32.44,21432.44,0.0,41054.86,6049.58,3222.29,0.0,0.0,3222.29,9271.87,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,13741.95,21432.44,3222.29,0.0,3222.29,31952.1,8200.0,0.0,0.0,0.0,0.0,0.0,8200.0
C190756,Munzinger For Missouri 136,Jeff Munzinger,D,State Representative - District 136 - Missouri House of Representatives,A,Munzinger For Missouri 136,October Quarterly Report,2020,Full Disclosure,50340.2,17655.41,0.0,0.0,17930.88,275.47,68271.08,5190.11,17337.95,0.0,0.0,17337.95,22528.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41254.8,17655.41,17337.95,0.0,17337.95,41572.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C180080,Committee To Elect John Black,John Black,R,State Representative - District 137 - Missouri House of Representatives,A,Committee To Elect John Black,October Quarterly Report,2020,Full Disclosure,1250.0,8000.0,0.0,0.0,8014.69,14.69,9264.69,1340.0,369.95,0.0,0.0,369.95,1709.95,150.0,0.0,0.0,0.0,0.0,150.0,0.0,1340.0,0.0,1340.0,22706.63,8000.0,1709.95,0.0,1709.95,28996.68,1340.0,0.0,0.0,0.0,0.0,0.0,0.0
C180713,Citizens For Raymond Lampert,Raymond Lampert,D,State Representative - District 137 - Missouri House of Representatives,A,Citizens For Raymond Lampert,October Quarterly Report,2020,Full Disclosure,3794.43,430.18,0.0,0.0,430.18,0.0,4224.61,1075.72,95.09,0.0,0.0,95.09,1170.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4179.61,430.18,72.12,23.97,96.09,4513.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C171106,Citizens For Brad Hudson,Bradley Hudson,R,State Representative - District 138 - Missouri House of Representatives,A,Citizens For Brad Hudson,October Quarterly Report,2020,Full Disclosure,500.0,2650.0,0.0,50.0,2700.0,0.0,3200.0,0.0,271.15,0.0,0.0,271.15,271.15,0.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,57.35,57.35,11026.72,2700.0,1328.5,0.0,1328.5,12398.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
